Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
20,150,20,50,0.0001,mse,1.0477
20,300,60,150,0.0001,mse,1.0489
20,150,100,150,0.0001,mse,1.0491
20,100,60,50,0.0001,mse,1.0536
20,150,40,150,0.0001,mse,1.0572
20,300,20,150,0.0001,mse,1.0588
20,150,80,10,0.0001,mse,1.0593
20,150,40,10,0.0001,mse,1.0651
20,100,80,200,0.0001,mse,1.0691
20,100,100,200,0.0001,mse,1.0726
20,100,200,30,0.0001,mse,1.0758
20,150,100,10,0.0001,mse,1.0790
20,100,100,30,0.0001,mse,1.0816
20,300,80,30,0.0001,mse,1.0860
20,300,60,200,0.0001,mse,1.0866
20,100,20,10,0.0001,mse,1.0909
20,300,200,100,0.0001,mse,1.0915
20,150,40,100,0.0001,mse,1.0983
20,150,20,10,0.0001,mse,1.0985
20,100,200,10,0.0001,mse,1.1137
20,300,40,30,0.0001,mse,1.1139
20,300,200,10,0.0001,mse,1.1351
20,100,100,50,0.0001,mse,1.1525
20,100,40,30,0.0001,mse,1.1565
20,100,60,150,0.0001,mse,1.1709
20,300,80,200,0.0001,mse,1.1823
20,300,60,10,0.0001,mse,1.2013
20,100,20,50,0.0001,mse,1.2105
20,300,20,100,0.0001,mse,1.2127
20,100,100,10,0.0001,mse,1.2129
20,100,40,10,0.0001,mse,1.2176
20,100,80,10,0.0001,mse,1.2417
